Assets,located_image,base_image,top_left_X,top_left_Y,bottom_right_X,top_right_Y,height,width,total_image_height,total_image_width
adunit-showtime-dexture-post-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
f701e15a157e1418704c2b18a13fb471,engagement_instruction.png,_preview.png,67,389,533,524,135,466,900,600
adunit-lionsgate-spiral-puzzle-v2-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-cpe-av-aus-nz-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
08fc9a9f04de967fe87c5061c32d3b84,engagement_animation_1.png,_preview.png,398,20,489,111,91,91,900,600
64a625126af2759b5e84aed912400e4f,engagement_instruction.png,_preview.png,272,182,397,318,136,125,500,600
eb84457fc98f942bb27157e930794c61,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
5d8310907217d0f5385f765f133ad475,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-tiger-crystel-beer-inner-fire-bio-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-mouser-user-choice-v3-aus-nz-cpe-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
4febb144783cbf0059748799ed8b4945,engagement_instruction.png,_preview.png,82,391,520,473,82,438,500,600
adunit-van-cleef-and-arpels-frivole-wave-unit2-tap-version-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-nestle-maggi-varieties-bouillon-ar-kwt-v1-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-milk-ctc-swipe-to-catch-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
8091002d3367a188f845f2c9fcdbadea,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
adunit-mouser-user-choice-v3-aus-nz-cpe-av-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
e1d358918210126d2348bb98e47dfa86,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-ihop-ihoppy-hour-20-percent-off-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-ihop-window4-reeses-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
727b84106211a421a6d6925655a4ff17,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
6649faf7aaae3caa5ac3de30b5ac4829,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
d63a7966d398d4dd0778d268d17fd2aa,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
3a78fb0ee7c6e7fa0101fe1d6f49de29,engagement_animation.png,_preview.png,315,195,367,266,71,52,500,600
07f3a0ee847117a81ff9183befca007a,engagement_animation_1.png,_preview.png,295,365,406,504,139,111,900,600
adunit-yamaha-rmax4-1000-le-sensory-plus-video-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-lionsgate-spiral-new-2-puzzle-v3-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5190d04e9abb3684a856257429894a5b,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
adunit-hitmans-wifes-body-guard-user-choice-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
adunit-doritos-niknaks-mpu,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
68c52769f63d072ef64e0dde04ed5ff0,engagement_instruction.png,_preview.png,162,21,438,97,76,276,900,600
adunit-dreamies-catfood-slider-mob,engagement,_preview.png,NA,NA,NA,NA,NA,NA,NA,NA
5cd2c1fa13b9cd4862f79304e5ca19cc,engagement_instruction.png,_preview.png,50,114,430,177,63,380,500,600
98555b9df18ae8d010794161505020dd,engagement_instruction.png,_preview.png,60,185,526,262,77,466,900,600
